timeA,gX,gY,gZ
0.5,0.67,-2.38,0.85
1,0.09,0.66,-1.42
1.5,-0.36,-0.15,-1.18
2,-1.49,0.54,-0.29
2.5,-0.24,3.12,-0.23
3,-0.77,3.27,-0.83
3.5,-0.56,1.21,-0.45
4,-0.22,-1.12,0.38
4.5,1.36,-1.45,0.79
5,-2.37,1.91,-0.06
5.5,1.54,-0.15,-0.11
6,1.09,-0.2,0.76
6.5,-1.26,0.62,0.41
7,5.96,-0.93,0.65
7.5,-0.29,-0.92,-0.15
8,-0.85,0.38,0.19
8.5,-0.87,-1.64,-0.18
9,13.39,-0.48,1.46
9.5,-2.41,1.31,-1.09
10,-0.57,1.79,-0.22
10.5,0.63,-0.05,0.7
11,0.19,0.5,-2.36
11.5,2.51,0.2,0.46
12,4.4,1.73,0.24
12.5,-20.34,-0.18,-2.75
13,-1.12,1.84,-0.57
13.5,0.48,0,-0.26
14,-0.6,-0.27,-1.95
14.5,-2.91,0.38,-2.07
15,4.23,-1.04,3.18
15.5,6.16,-0.63,1.8
16,-1.81,-0.58,3.42
16.5,1.52,-0.21,1.32
17,-0.18,1.33,1.04
17.5,0.72,1.78,-0.8
18,1.74,-0.47,-0.11
18.5,-4.9,-6.67,5.1
19,-2.09,-1,2.39
19.5,4.25,2.94,3.27
20,-0.44,-0.77,1.78
20.5,-1.38,-0.43,0.35
21,-3.24,2.19,1.49
21.5,-1.01,4.26,-4.18
22,-4.17,2.24,-1.93
22.5,3.55,-10.42,1.68
23,0.58,-2.57,-2.67
23.5,-0.98,0.54,-1.76
24,-0.56,-1.23,-0.91
24.5,-0.78,-1.78,-1.8
25,-0.24,0.71,-2.11
25.5,1.64,3.57,-0.72
26,-2.09,-1.4,0.99
26.5,-1.14,2.33,0.21
27,1.78,0.77,-0.08
27.5,0.48,0.87,1.39
28,-2.92,1.66,0.12
28.5,-0.83,2.66,0.41
29,2.11,-2.47,1.27
29.5,0,-7.01,3.17
30,-4.74,-4.97,2.06
30.5,1.34,-1.92,1.1
31,42.7,-13.01,11.89
31.5,3.95,-17.51,6.84
32,-6.38,-11.71,3.11
32.5,-13.96,-19.87,1.39
33,13.58,-3.89,4.87
33.5,-31.03,3.69,-2.5
34,3.03,-14.26,3.81
34.5,34.42,16.92,4
35,25.74,14.53,2.99
35.5,12.62,-7.42,4.3
36,-4.56,6.95,-3.24
36.5,9.07,-3.66,3.25
37,4.86,-1.32,2.04
37.5,7.35,9.49,1.43
38,1.97,5.32,-0.08
38.5,26.83,11.4,4.49
39,4.52,-21.2,3.45
39.5,2.11,4.65,-0.05
40,6.51,8.75,0.33
40.5,-11.1,-12.13,-0.71
41,2.84,-8.55,0.84
41.5,-7.98,-18.11,-0.77
42,33.05,29.82,5.42
42.5,-4.09,20.18,-1.38
43,-23.09,-6.33,-3.51
43.5,-0.89,15.01,-3.16
44,6.74,48.13,-3.47
44.5,-11.15,39.78,-6.67
45,-13.52,31.49,-8.87
45.5,1.08,31.92,-5.07
46,-4.9,3.98,-1.66
46.5,-5.04,-7.64,-0.58
47,13.7,19.08,-0.39
47.5,-3.49,-0.81,-0.73
48,15.94,-107.07,7.56
48.5,-25.81,-3.67,-7.81
49,9.91,65.07,-4.9
49.5,13.59,-11.71,4.01
50,1.91,56.63,-7.58
50.5,-32.21,0.85,-2.98
51,16.47,-12.53,4.88
51.5,-14.05,10.34,-2.7
52,-2.19,12.45,-0.36
52.5,0.02,11.64,-1.48
53,27.05,-34.43,14.95
53.5,-29.49,-57.86,2.34
54,0.76,-66.2,8.29
54.5,-4.12,-13.58,2.44
55,18.08,66.95,-7.24
55.5,11.33,72.16,-5.41
56,-5.51,80.25,-11.82
56.5,1.63,27.62,-2.24
57,1.18,62.61,-5.56
57.5,3.34,-7.31,0.51
58,0.61,-47.18,2.23
58.5,6.8,-62.06,6.67
59,-0.3,-4.51,-0.13
59.5,1.9,22.45,-1.21
60,-15.09,-8.1,-1.63
60.5,-12.7,7.16,-2.83
61,-24.64,-38.77,-3.84
61.5,-45.06,13.7,-6.69
62,45.32,-4.01,7.76
62.5,3.6,6.44,0.1
63,-13.52,17.53,-2.03
63.5,11.48,0.9,1.91
64,-4.57,-0.73,-0.66
64.5,9.93,0.4,1.43
65,-8.31,21.51,-2.74
65.5,10.75,-3.92,3.46
66,-18.14,16.07,-3.89
66.5,5.16,-14.21,5.22
67,8.07,25.95,0.42
67.5,1.26,3.7,1.82
68,3.45,-11.19,7.51
68.5,-7.94,15.35,1.14
69,-4.12,11.25,1.41
69.5,-2.37,11.9,-0.28
70,1.38,-13.05,6.01
70.5,-1.72,-12.25,4.14
71,-4.52,9.62,-0.86
71.5,-5.35,12.58,-2.25
72,10.89,18.75,-2.48
72.5,1.92,15.89,-1.12
73,10.17,-8.02,2.89
73.5,-1.24,14.25,-3.29
74,-5.68,13.71,-3.5
74.5,-5.07,-7.97,0.48
75,-1.26,-5.2,2.13
75.5,-0.72,1.6,-1.05
76,-3.31,-3.3,-0.05
76.5,-1.22,2.55,0.16
77,2.37,0.67,1.63
77.5,-1.05,3.23,1.11
78,-2.21,-0.6,-0.5
78.5,-5.04,0.16,-1.37
79,1.09,0.83,0.47
79.5,19.01,-0.75,5.03
80,3.69,-1.17,0.4
80.5,-0.7,-0.56,0.65
81,-0.76,1.06,1
81.5,-0.58,0.21,-1.34
82,0.73,-0.23,-0.63
82.5,0.57,-0.25,1.72
83,-1.18,2.08,-1.6
83.5,-0.83,-1.68,-1.01
84,-3.89,34.5,-8.36
84.5,10.83,2.46,1.31
85,-10.21,8.36,-6.21
85.5,4.55,6.26,0.34
86,0.38,-2.53,0.93
86.5,19.66,-0.35,19.93
87,-34.82,6.9,-4.37
87.5,-34.04,20.71,-29.54
88,-8.08,-8.49,4.82
88.5,5.28,-6.73,1.71
89,-12.37,-6.32,-5.15
89.5,-1.36,1.37,0.9
90,-6.42,-1.97,-2.74
90.5,-13.72,-3.67,-3.36
91,0.51,-1.34,1.11
91.5,5.67,0.09,0.2
92,-9.27,1.23,-2.28
92.5,2.54,0.29,1.09
93,4.5,-2,-2.77
93.5,-3.34,1.51,1.72
94,1.58,-1.72,1.56
94.5,0.79,-3.32,2.07
95,4.33,2.98,3.94
95.5,0.42,0.92,1.74
96,1.68,8.8,-1.31
96.5,15.51,3.03,3.42
97,2.41,-9.18,1.17
97.5,-5.83,0.47,-1.53
98,10.51,11.3,-3.39
98.5,11.37,-39.02,12.62
99,-10.44,-36.52,4.16
99.5,15.05,-35.87,10.11
100,1.18,16.24,-6.65
100.5,-5.96,-17.66,2.89
101,-21.33,-24.91,1.06
101.5,-12.16,-30.03,5.05
102,-4.44,-5.63,-0.86
102.5,24.13,21.83,0.09
103,-10.13,55.04,-15.02
103.5,-7.91,-36.03,5.42
104,22.48,-14.24,5.6
104.5,-23.35,26.98,-8.73
